,Measured Data,Linear Regression,Support Vector Regression,Decision Tree Regression,Random Forest Regression,Random Forest Regression (standardized data),Gradient Boosting,Extreme Gradient Boosting,Bootstrapping,Neural Networks
1011,289.6841766,325.31067805132307,312.3511467291099,300.4491035,297.71499269213285,302.3056164188021,295.6771685419276,302.14255,296.05235933000006,311.4566232416408
1012,132.4239007,145.73893001585205,131.68275369783663,143.6714734,133.42623945126024,133.31396424608855,129.98096962911225,130.2526,136.32826662,137.11661802142063
1013,287.9762886,282.6957049029445,268.4860868480347,266.7212457,288.76615057287626,290.4363057294654,292.0369225283669,287.62402,288.32355916,261.0888038621183
1014,116.6550294,120.16689486522523,124.6263421809221,125.3531188,125.99172892841608,127.39272810693687,123.6892246063698,123.080215,125.75522596,126.77539429058028
1015,127.4438165,117.94723883507362,127.12753037482847,128.6332684,128.57371545537595,129.64788602794113,125.21294871172515,126.50547,126.87357865000001,128.16189460876456
1016,109.0461372,122.58598635250003,99.0806905267644,109.2826462,120.38564955053056,130.29339933424646,115.05456445571205,126.083496,110.67350749000002,135.69740350719871
1017,128.5455717,128.54404675543503,131.39500019395396,141.3978475,133.65262871756377,135.7306808983383,133.40926277980995,138.5625,124.50899097000001,139.57626490108697
1018,134.4181111,131.84928547119262,126.54467626129802,125.023262,123.97122899482297,123.37481163632467,123.88638861982827,124.17202,123.11411112,125.32394409297324
1019,272.159069,252.75576138434886,279.64110131987877,314.0054645,285.6054901217903,286.8962555087074,297.4191721403567,283.11377,291.53761182000005,272.69507717624356
1020,119.7160419,126.73486312379293,124.34621615517635,122.1108525,121.9259113586461,121.73400476807073,123.13660977113861,123.654724,121.38200710999999,121.53580338520896
1021,127.6845115,128.99964877440485,130.96018924239024,130.0542061,133.67303988579113,134.2913749960641,134.36351057792587,132.32831,133.21344309,135.79314216414406
1022,132.9168022,133.44849433977163,131.20166310357507,127.4402584,131.85254710715265,131.84433629940372,131.71314688825618,130.88802,130.69265481999997,132.7374418698758
1023,132.0946718,140.40120570805644,137.38888295423288,122.2238745,138.78957360718388,139.4519383727019,140.38506102916364,137.66273,136.73987599999998,140.34840703631184
1024,142.6950889,150.56090692654453,142.00116691217966,144.6924388,142.35904936577813,142.00576446302642,143.618199103578,142.60939,142.88906814,142.2560289802125
1025,108.1930304,102.84923031351177,111.24818031280917,104.9645779,111.31463436084577,118.17592585765222,104.97760759494797,104.47063,105.64787960999999,114.23496041340128
1026,156.6248411,159.20606754089522,161.7853030727557,146.4574657,149.07214743146272,145.61632855381333,153.20162463656055,152.93437,148.89001308999997,153.82139365268094
1027,309.11517,307.4995973651544,297.68672033073017,325.7266831,310.0652773245089,304.2465072346511,315.1458042823553,322.31445,316.30403895999996,294.63094839384985
1028,150.8330915,134.83068431396345,135.06487194329364,137.7461904,139.0589753904533,139.35227379690107,138.52664852840059,136.83267,138.26464743,139.95337914508914
1029,137.1214299,125.12876470618602,137.7272686362979,138.1287908,137.57782746562782,138.06131141546018,139.60408667734876,138.45317,138.31571663,135.05960110030762
1030,380.1714735,328.7183584006666,344.8922274435572,367.9590278,344.2527680987429,337.0445700547466,349.13106193003466,353.74377,364.27765009999996,328.8196473259717
1031,140.925876,137.1699976322206,140.3840261589154,150.6964186,144.24252944139116,143.6254144189538,141.96431775131893,143.06506,144.78178896999998,142.5310492381723
1032,127.3448176,142.4844162805768,118.5109515211233,129.3120283,126.06429352052768,126.3844363427832,127.07552914298319,124.48352,125.86370614999998,131.2197272067463
1033,111.6435502,116.47315938832855,115.21146999799701,109.3600872,112.69938236921858,113.28781645196064,111.41967649927383,110.553276,111.79491596,117.59098648459087
1034,297.6754599,304.73440128852826,324.2938907275905,353.8620449,312.4621760777518,311.51639492547895,310.1244022593803,314.5082,331.51985594,312.3793011054617
1035,284.2622601,307.7323624107871,285.27062838669804,275.3473359,285.87344673975,289.6004260471754,290.56648831029946,280.49844,276.93056482000003,293.0604349672958
